Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2017,2,Santa Fe,6.84,1.09
2017,2,Santiago Del Estero,5.06,1.02
2017,2,Tierra Del Fuego,3.48,1.0
2017,2,Tucumán,6.09,1.04
2017,3,Buenos Aires,8.43,1.17
2017,3,Capital Federal,10.64,1.2
2017,3,Catamarca,5.26,1.03
2017,3,Chaco,8.48,1.1
2017,3,Chubut,3.48,1.01
2017,3,Córdoba,9.12,1.23
2017,3,Corrientes,7.45,1.1
2017,3,Entre Ríos,6.99,1.11
2017,3,Formosa,7.07,1.14
2017,3,Jujuy,4.69,1.03
2017,3,La Pampa,3.44,1.04
2017,3,La Rioja,5.01,0.91
2017,3,Mendoza,3.51,1.0
2017,3,Misiones,8.43,1.11
2017,3,Neuquén,8.17,1.22
2017,3,Río Negro,5.49,1.16
2017,3,Salta,6.13,1.06
2017,3,San Juan,3.45,0.99
2017,3,San Luis,3.5,1.0
2017,3,Santa Cruz,3.61,1.0
2017,3,Santa Fe,7.79,1.14
2017,3,Santiago Del Estero,5.18,1.02
2017,3,Tierra Del Fuego,3.48,1.0
2017,3,Tucumán,6.39,1.05
2017,4,Buenos Aires,12.97,1.54
2017,4,Capital Federal,15.2,1.43
2017,4,Catamarca,7.78,1.48
2017,4,Chaco,11.7,1.38
2017,4,Chubut,5.41,1.55
2017,4,Córdoba,11.64,1.28
2017,4,Corrientes,10.38,1.39
2017,4,Entre Ríos,9.3,1.33
2017,4,Formosa,10.11,1.43
2017,4,Jujuy,6.64,1.42
2017,4,La Pampa,3.98,1.16
2017,4,La Rioja,5.88,1.17
2017,4,Mendoza,5.71,1.63
2017,4,Misiones,11.32,1.34
2017,4,Neuquén,10.72,1.31
2017,4,Río Negro,8.05,1.47
2017,4,Salta,8.45,1.38
2017,4,San Juan,5.83,1.69
2017,4,San Luis,5.73,1.64
2017,4,Santa Cruz,5.21,1.44
2017,4,Santa Fe,10.3,1.32
2017,4,Santiago Del Estero,6.17,1.19
2017,4,Tierra Del Fuego,5.2,1.49
2017,4,Tucumán,9.11,1.43
2018,1,Buenos Aires,14.2,1.09
