Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
RIO NEGRO,25 de Mayo,Mina Santa Teresita,3,0,0,0,0,0,0,0,0,0,62091080.0,-40.9343435582627,-69.411658784618
RIO NEGRO,25 de Mayo,Pilquiniyeu,46,0,0,0,0,1,0,0,0,0,62091090.0,-41.9083865405739,-68.3424732450183
RIO NEGRO,9 de Julio,Comicó,82,0,0,0,0,1,0,0,0,0,62049010.0,-41.0632755118249,-67.5965600975269
RIO NEGRO,9 de Julio,Cona Niyeu,217,0,0,0,0,1,0,1,0,0,62049020.0,-41.8812021704501,-66.9407404270844
RIO NEGRO,9 de Julio,Ministro Ramos Mexía,973,0,0,0,1,1,1,0,0,0,62049030.0,-40.5085400133825,-67.2619207148835
RIO NEGRO,9 de Julio,Prahuaniyeu,147,0,0,0,0,1,0,1,0,0,62049040.0,-41.3591519247092,-67.9314763422669
RIO NEGRO,9 de Julio,Sierra Colorada,1542,0,0,0,1,1,1,0,0,1,62049050.0,-40.5850993527615,-67.7555445864448
RIO NEGRO,9 de Julio,Treneta,27,0,0,0,0,0,1,0,0,0,62049060.0,-40.8508277432449,-66.9816846927042
RIO NEGRO,9 de Julio,Yaminué,92,0,0,0,0,0,1,0,0,0,62049070.0,-40.8429274507992,-67.1922500656909
RIO NEGRO,Adolfo Alsina,Bahía Creek,5,0,0,0,0,0,0,0,0,0,62007010.0,-41.0954235915941,-63.9092240856567
RIO NEGRO,Adolfo Alsina,El Cóndor,746,0,0,0,0,0,1,1,1,1,62007020.0,-41.043074401021,-62.8212339732456
RIO NEGRO,Adolfo Alsina,El Juncal,83,0,0,0,0,0,0,0,0,0,62007030.0,-40.8040464324129,-63.119258465235
RIO NEGRO,Adolfo Alsina,Guardia Mitre,856,0,0,0,0,1,1,1,0,1,62007040.0,-40.4302951883973,-63.6719140103256
RIO NEGRO,Adolfo Alsina,La Lobería,1,0,0,0,0,0,0,0,0,0,62007050.0,-41.1541008885686,-63.1234800366544
RIO NEGRO,Adolfo Alsina,Loteo Costa de Río,665,0,0,0,0,0,0,0,0,0,62007060.0,-40.8722977227525,-62.9146635826372
RIO NEGRO,Adolfo Alsina,Pozo Salado,5,0,0,0,0,0,0,0,0,0,62007070.0,-41.0178488120515,-64.1403933053127
RIO NEGRO,Adolfo Alsina,San Javier,530,0,0,0,0,1,1,1,0,0,62007080.0,-40.7472509496074,-63.2646524967149
RIO NEGRO,Adolfo Alsina,Viedma,52789,1,1,1,1,1,1,1,1,1,62007090.0,-40.8093232712389,-62.9853203682712
RIO NEGRO,Avellaneda,Barrio Unión,89,0,0,0,0,0,0,0,0,0,62014010.0,-39.1585373145235,-66.1856066477135
RIO NEGRO,Avellaneda,Chelforó,71,0,0,0,0,0,0,0,0,0,62014020.0,-39.0881631155042,-66.5209546613811
RIO NEGRO,Avellaneda,Chimpay,4025,0,0,0,1,1,0,0,1,1,62014030.0,-39.1651527318617,-66.1447069274027
RIO NEGRO,Avellaneda,Choele Choel,10146,1,1,1,1,1,1,1,1,1,62014040.0,-39.2884543350453,-65.663280823108
RIO NEGRO,Avellaneda,Coronel Belisle,1764,0,0,0,1,1,1,1,1,1,62014050.0,-39.1858299915745,-65.9563191181266
SAN LUIS,Ayacucho,Quines,7459,0,0,0,0,1,1,0,0,1,74007050.0,-32.2330822365033,-65.8056329969317
SAN LUIS,Ayacucho,Río Juan Gómez,0,0,0,0,0,0,1,0,0,0,74007010.0,-32.603889,-66.086944
SAN LUIS,Ayacucho,Rodeo De Cadenas,0,0,0,0,0,0,0,0,0,0,74007010.0,-32.7015629614775,-66.1900873349156
SAN LUIS,Ayacucho,San Francisco del Monte de Oro,3732,0,0,0,0,0,1,1,0,1,74007070.0,-32.6006392247112,-66.1273702635842
SAN LUIS,Ayacucho,San Ignacio,0,0,0,0,0,0,0,0,0,0,74007070.0,-32.0866257032099,-66.0888231134367
SAN LUIS,Ayacucho,San Miguel,0,0,0,0,0,1,0,0,0,0,74007070.0,-32.14116477,-65.81342262
SAN LUIS,Ayacucho,San Roque,0,0,0,0,0,0,0,0,0,0,74007050.0,-32.15448797,-66.96257853
SAN LUIS,Ayacucho,Santa Ana,0,0,0,0,0,0,0,0,0,0,74007070.0,-32.1448782188562,-66.0460393687647
SAN LUIS,Ayacucho,Santa Rosa De Catantal,0,0,0,0,0,0,0,0,0,0,74007010.0,-32.33294095,-66.91334013
SAN LUIS,Ayacucho,Santa Teresa,0,0,0,0,0,0,0,0,0,0,74007070.0,-32.20206139,-66.26698743
SAN LUIS,Ayacucho,Santo Domingo,0,0,0,0,0,0,0,0,0,0,74007070.0,-31.8973633310749,-65.6491557457839
SAN LUIS,Ayacucho,Talita,0,0,0,0,0,0,0,0,0,0,74007010.0,-32.3496514640192,-66.7266327912252
SAN LUIS,Belgrano,Arbol Solo,0,0,0,0,0,0,0,0,0,0,74014030.0,-32.52213375,-66.48595015
SAN LUIS,Belgrano,Bella Estancia,0,0,0,0,0,0,0,0,0,0,74014030.0,-32.8188624645794,-66.6427145357585
SAN LUIS,Belgrano,Buen Orden,0,0,0,0,0,0,0,0,0,0,74014030.0,-32.59798771,-66.71267133
SAN LUIS,Belgrano,El Barrial,0,0,0,0,0,0,0,0,0,0,74014010.0,-32.8288468409196,-66.3734349744985
SAN LUIS,Belgrano,El Milagro,0,0,0,0,0,0,0,0,0,0,74014010.0,-33.10055908,-66.36174359
SAN LUIS,Belgrano,El Recodo,0,0,0,0,0,0,0,0,0,0,74014010.0,-32.9827253369368,-66.4680980568412
SAN LUIS,Belgrano,Estancia De Amieva,0,0,0,0,0,0,0,0,0,0,74014010.0,-32.6952146,-66.26680538
