Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2020,4,Chubut,106,109,88157,21824,12046,2818,1112,130574
2020,4,Córdoba,119,2386,214963,135262,82221,70013,384169,902701
2020,4,Corrientes,67,527,31900,26321,25687,9383,26789,125659
2020,4,Entre Ríos,105,2911,65659,53556,40755,16600,53141,247381
2020,4,Formosa,56,0,23540,7606,7181,1197,8946,50206
2020,4,Jujuy,49,182,23772,14379,44930,446,19282,105851
2020,4,La Pampa,298,554,70184,8124,6562,2396,6257,96895
2020,4,La Rioja,18,1,36906,6060,4633,181,4979,52778
2020,4,Mendoza,28,40,146312,11172,40396,3378,11557,215453
2020,4,Misiones,51,524,39988,26078,26445,14810,32264,147161
2020,4,Neuquén,116,327,56434,8478,5791,5493,50776,133135
2020,4,Río Negro,125,466,70305,4153,13131,3512,29372,141210
2020,4,Salta,109,514,41443,68829,15188,8291,46697,187390
2020,4,San Juan,25,194,61316,740,5126,332,275,72596
2020,4,San Luis,58,0,14020,3490,2688,62239,22,119435
2020,4,Santa Cruz,47,0,27173,4382,6634,1033,647,40674
2020,4,Santa Fe,518,891,206372,203793,94246,65145,226246,820813
2020,4,Santiago Del Estero,123,909,34518,57590,4666,411,4520,106669
2020,4,Tierra Del Fuego,17,0,21881,6119,3497,488,922,39614
2020,4,Tucumán,29,97,44095,54334,32155,4105,93594,231089
2020,3,Buenos Aires,37542,31514,1113823,234710,219772,194248,2085815,3937277
2020,3,Capital Federal,264,312,162222,85083,68753,78028,977766,1372675
2020,3,Catamarca,63,0,8276,8768,11195,562,18886,49904
2020,3,Chaco,308,112,24675,21639,27546,13751,38729,133954
2020,3,Chubut,158,109,87559,22114,12217,2818,1110,130027
2020,3,Córdoba,168,3064,218599,124833,84236,63823,361021,867472
2020,3,Corrientes,72,527,35190,23315,25308,8615,25344,123391
2020,3,Entre Ríos,130,2911,66648,51478,40797,14377,49395,241495
2020,3,Formosa,391,151,23163,7432,7125,991,8219,49209
2020,3,Jujuy,55,182,32131,10566,45198,293,15238,106728
2020,3,La Pampa,293,810,66695,7820,5577,2189,6322,93735
2020,3,La Rioja,21,1,37105,5955,4660,124,4748,52616
2020,3,Mendoza,58,40,141404,12123,42433,3448,8237,207788
2020,3,Misiones,71,524,39005,24215,25942,13663,30987,143186
2020,3,Neuquén,218,327,60463,6561,5975,5449,49439,129235
2020,3,Río Negro,114,466,68986,3769,7096,3455,28488,131467
2020,3,Salta,129,514,32780,64736,15990,7928,43773,180846
2020,3,San Juan,48,194,65526,711,6529,41,128,77327
2020,3,San Luis,105,0,12199,3351,2666,61319,8,116565
2020,3,Santa Cruz,66,0,26888,4015,6730,629,120,39281
2020,3,Santa Fe,568,1241,213353,199381,92095,58797,210562,802998
2020,3,Santiago Del Estero,133,909,33287,57418,4658,292,3994,105492
2020,3,Tierra Del Fuego,11,0,22094,5414,3726,481,937,39655
2020,3,Tucumán,52,97,45913,54610,33126,3246,84195,223876
2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,3777546
2020,2,Capital Federal,264,312,166474,94585,79858,80160,935481,1357821
