Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra optica,Wireless,Total Tecnologia,Mbps (Media de bajada),Tasa de crecimiento Velocidad,Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos
San Luis,2016,1,88.93037728510306,8.105795410346168,2.7537922987164527,0.21003500583430573,12855,3.5,1.0,9.59,-1.3374485596707952,5936844.89,402.93,-24.19430700054559
Santa Cruz,2016,1,65.60496207200033,11.411927412933238,1.6596119190310548,21.32349859603537,23861,3.48,1.0,26.87,-4.001429081814923,5936844.89,402.93,-24.19430700054559
Santa Fe,2016,1,61.40058993621133,37.200854390375035,0.5474346493076241,0.8511210241060142,550568,4.9,1.02,51.28,2.070063694267521,5936844.89,402.93,-24.19430700054559
Santiago Del Estero,2016,1,87.17744504619306,10.353615801210577,0.050440692364872045,2.418498460231496,37668,4.17,1.02,16.21,-4.982415005861651,5936844.89,402.93,-24.19430700054559
Tierra Del Fuego,2016,1,80.45208984930339,17.180835939721355,2.363520045493318,0.0035541654819448393,28136,3.48,1.0,65.83,-11.316179442274022,5936844.89,402.93,-24.19430700054559
Tucumán,2016,1,98.39345649029934,1.4769285343957212,0.07913335334406636,0.05048162196086992,146588,5.0,1.02,36.72,4.675028506271373,5936844.89,402.93,-24.19430700054559
Buenos Aires,2015,4,54.0747378998995,41.70977620762391,3.5201996719402566,0.6952862205363217,2933612,4.88,1.04,58.29,3.922267783918687,5376899.21,586.08,20.127900303353297
Capital Federal,2015,4,33.54974113570265,64.82289085267571,1.4599239171752114,0.16744409444642527,1357468,5.93,1.05,118.13,2.8111401218450682,5376899.21,586.08,20.127900303353297
Catamarca,2015,4,99.02413193131099,0.9153491186927907,0.056736515621453966,0.0037824343747635976,26438,4.12,1.06,26.24,2.861622892983129,5376899.21,586.08,20.127900303353297
Chaco,2015,4,65.67643795080451,34.04845570556686,0.21499907527279452,0.060107268355835027,86512,5.83,1.07,28.35,29.629629629629626,5376899.21,586.08,20.127900303353297
Chubut,2015,4,74.250202647933,1.3695622804647394,1.5468792218319374,22.83335584977033,59216,3.28,1.0,36.89,-8.347826086956523,5376899.21,586.08,20.127900303353297
Córdoba,2015,4,56.502872851354915,42.52331444736569,0.07671591935238978,0.897096781927008,625685,5.07,1.04,57.36,4.862888482632544,5376899.21,586.08,20.127900303353297
Corrientes,2015,4,65.20786977397822,32.99918023187727,0.20728422531912402,1.5856657688253895,85390,5.26,1.04,30.34,28.77758913412565,5376899.21,586.08,20.127900303353297
Entre Ríos,2015,4,65.52893764049142,30.706035885318755,0.07013791874349644,3.6948885554463247,173943,5.01,1.05,44.11,22.42575631418262,5376899.21,586.08,20.127900303353297
Formosa,2015,4,77.4140694568121,18.927871772039182,0.014247551202137132,3.6438112199465715,28075,4.66,1.12,19.07,6.180400890868598,5376899.21,586.08,20.127900303353297
Jujuy,2015,4,82.5641154202913,17.38073152999574,0.05515304971295344,0.0,39889,3.72,1.05,21.47,9.540816326530589,5376899.21,586.08,20.127900303353297
La Pampa,2015,4,19.32810037580313,64.71238938053098,6.5568553764092625,9.402654867256636,65992,2.94,1.01,58.76,14.60893309927831,5376899.21,586.08,20.127900303353297
